meanX,meanY,meanZ,maxX,maxY,maxZ,minX,minY,minZ,stdX,stdY,stdZ,varX,varY,varZ,medianX,medianY,medianZ,rmsX,rmsY,rmsZ,corX,corY,corZ,energyX,energyY,energyZ,iqrX,iqrY,iqrZ,madX,madY,madZ,sma,Class
-5.8893e-01,-4.2493e-01,7.2721e-02,-5.0153e-01,-6.8580e-01,-4.0381e-01,2.0101e-01,1.6183e-01,5.3506e-01,-4.8823e-01,-8.7072e-01,-7.8409e-01,-8.6441e-01,-9.9013e-01,-9.7614e-01,-6.8302e-01,-4.7828e-01,2.7926e-02,-2.8950e-01,-6.9506e-01,-6.5404e-01,6.3632e-02,-1.1195e-01,-3.3676e-01,-7.1026e-01,-9.3817e-01,-9.3100e-01,-9.2753e-01,-9.5896e-01,-9.3930e-01,-9.1614e-01,-9.6752e-01,-9.7194e-01,-7.8398e-01,0
-3.9307e-01,-5.6273e-01,2.6816e-01,5.3984e-01,-8.9087e-02,-2.6223e-02,-8.5004e-01,-2.3479e-01,2.2584e-01,2.3212e-01,-4.5262e-01,-3.3851e-01,-2.3517e-01,-8.4521e-01,-7.7996e-01,-3.9694e-01,-6.8984e-01,1.6974e-01,-2.1439e-01,-3.4843e-01,-2.1267e-01,-1.5417e-02,-3.5839e-01,-3.0556e-01,-6.5253e-01,-7.6167e-01,-6.7479e-01,-3.0087e-02,-6.3656e-01,-4.1366e-01,2.0223e-01,-6.1720e-01,-4.8337e-01,-5.1761e-01,0
-1.5516e-01,-5.9130e-01,1.2753e-01,-3.2767e-01,-3.0751e-01,-2.9453e-01,-2.2166e-01,2.1892e-01,5.9643e-01,4.1237e-01,-7.7929e-01,-7.8108e-01,2.4543e-03,-9.7319e-01,-9.7548e-01,6.5683e-02,-6.5906e-01,1.4066e-01,-2.0153e-01,-5.4936e-01,-6.0773e-01,-3.1446e-01,-2.6208e-01,-1.3833e-01,-6.4213e-01,-8.7775e-01,-9.1297e-01,8.5712e-01,-8.9123e-01,-8.6326e-01,3.2418e-01,-8.9053e-01,-8.6214e-01,-6.2490e-01,0
-4.9301e-01,-4.8819e-01,-8.3946e-01,-4.3929e-01,-5.1093e-01,-1.6172e-01,-6.6947e-02,1.2534e-01,-2.8006e-01,-4.5403e-01,-8.3040e-01,-3.8283e-01,-8.4612e-01,-9.8367e-01,-8.0833e-01,-5.2008e-01,-5.8958e-01,-8.0342e-01,-4.2056e-01,-6.3757e-01,-2.0218e-01,1.7582e-02,6.4962e-01,2.8496e-01,-7.9859e-01,-9.1672e-01,-6.6640e-01,-6.2285e-01,-9.0557e-01,-6.1899e-01,-5.6768e-01,-9.0539e-01,-6.1431e-01,-6.5930e-01,0
-7.2707e-02,-4.7899e-01,7.7931e-01,-4.0179e-01,-6.8898e-01,-3.4151e-01,5.9653e-01,1.9269e-01,7.1280e-01,-6.4910e-01,-8.7360e-01,-7.8654e-01,-9.3491e-01,-9.9053e-01,-9.7667e-01,-1.5318e-01,-5.6272e-01,8.4191e-01,-8.2986e-01,-6.6067e-01,-1.4721e-02,-3.9558e-01,-8.0558e-01,2.0982e-02,-9.7284e-01,-9.2571e-01,-4.9862e-01,-9.0526e-01,-9.3847e-01,-9.1173e-01,-8.9583e-01,-9.3363e-01,-9.0925e-01,-7.8544e-01,0
3.1509e-01,-4.6560e-01,1.2167e-01,-2.2031e-01,-5.8060e-01,-3.7764e-01,6.8979e-01,2.6664e-01,5.4290e-01,-4.8714e-01,-8.1503e-01,-6.5533e-01,-8.6384e-01,-9.8079e-01,-9.3979e-01,4.2190e-01,-5.0750e-01,5.3424e-02,-2.5350e-01,-6.4469e-01,-5.3800e-01,-7.9005e-01,-1.3224e-01,2.1168e-01,-6.8324e-01,-9.1954e-01,-8.8191e-01,-2.6917e-01,-8.3056e-01,-5.5786e-01,-8.2962e-01,-8.7925e-01,-6.9285e-01,-7.3083e-01,0
-5.1440e-01,-4.7302e-01,-7.3161e-02,-6.6343e-01,-6.7394e-01,-5.7459e-01,1.0771e-01,3.4146e-01,5.3112e-01,-1.7679e-01,-8.0441e-01,-7.9563e-01,-6.5526e-01,-9.7866e-01,-9.7859e-01,-6.9967e-01,-4.7828e-01,-8.3267e-17,-2.8998e-01,-6.3491e-01,-7.6744e-01,-9.6797e-03,1.1665e-02,-1.9399e-01,-7.1062e-01,-9.1565e-01,-9.6638e-01,2.0529e-01,-8.5674e-01,-7.7375e-01,-4.1030e-01,-9.0041e-01,-8.1677e-01,-8.4468e-01,0
2.1933e-01,-5.0714e-01,2.0617e-01,-2.9697e-01,-6.1064e-01,-3.4962e-01,5.6626e-01,3.4707e-01,4.9098e-01,-4.1698e-01,-8.1533e-01,-6.0219e-01,-8.2501e-01,-9.8085e-01,-9.1996e-01,2.2804e-01,-5.3593e-01,1.1158e-01,-3.7504e-01,-6.1884e-01,-4.4266e-01,-6.3700e-01,-1.8425e-01,1.3695e-01,-7.6970e-01,-9.0905e-01,-8.3182e-01,-5.2864e-01,-8.7159e-01,-5.1769e-01,-3.2391e-01,-9.1741e-01,-6.0036e-01,-7.4537e-01,0
-3.4487e-01,-8.0272e-01,-4.3806e-01,-6.7705e-01,-8.2430e-01,-1.1654e-01,3.6130e-01,-4.1813e-01,3.7375e-01,-7.1136e-01,-8.4755e-01,-5.5201e-01,-9.5533e-01,-9.8662e-01,-8.9866e-01,-4.1361e-01,-8.0427e-01,-5.9179e-01,-7.1346e-01,-4.3489e-01,-5.5704e-01,-1.6338e-02,4.1879e-01,-5.7128e-02,-9.3894e-01,-8.1627e-01,-8.9086e-01,-8.1310e-01,-9.6234e-01,-5.1252e-01,-8.2975e-01,-9.6188e-01,-7.9226e-01,-7.4937e-01,0
-3.9737e-02,-9.0283e-01,1.9306e-01,-4.8788e-01,-8.0373e-01,-5.2941e-01,6.3558e-01,2.4419e-05,6.0978e-01,-8.3284e-01,-8.9212e-01,-9.0369e-01,-9.8416e-01,-9.9290e-01,-9.9510e-01,-9.0740e-02,-9.1792e-01,2.4417e-01,-8.7639e-01,-3.7590e-01,-5.9288e-01,-5.2418e-01,-5.8647e-01,3.9695e-03,-9.8291e-01,-7.7978e-01,-9.0675e-01,-9.8259e-01,-9.9361e-01,-9.6289e-01,-9.8461e-01,-9.9432e-01,-9.6866e-01,-7.9036e-01,0
